OBJECTID,sovereignt,type,name,name_long,abbrev,formal_en,region_wb,LITERACY_RT_TOTAL,TOTAL_YEAR,LITERACY_RT_FEMALE,FEMALE_YEAR,LITERACY_RT_MALE,MALE_YEAR,TOTAL_YEAR_LBL
271,Burundi,Sovereign country,Burundi,Burundi,Bur.,Republic of Burundi,Sub-Saharan Africa,86.947868347168,2008,84.5914688110352,2008,88.7761840820313,2008,(2008)
272,Belgium,Sovereign country,Belgium,Belgium,Belg.,Kingdom of Belgium,Europe & Central Asia,99,,,,,,
273,Benin,Sovereign country,Benin,Benin,Benin,Republic of Benin,Sub-Saharan Africa,28.702112197876,2006,18.4429149627686,2006,40.6161689758301,2006,(2006)
274,Burkina Faso,Sovereign country,Burkina Faso,Burkina Faso,B.F.,Burkina Faso,Sub-Saharan Africa,28.7292137145996,2007,21.5795650482178,2007,36.6806678771973,2007,(2007)
275,Bangladesh,Sovereign country,Bangladesh,Bangladesh,Bang.,People's Republic of Bangladesh,South Asia,59.7215385437012,2013,56.2257118225098,2013,63.1647682189941,2013,(2013)
276,Bulgaria,Sovereign country,Bulgaria,Bulgaria,Bulg.,Republic of Bulgaria,Europe & Central Asia,98.3524475097656,2011,97.9838943481445,2011,98.7472305297852,2011,(2011)
277,Bahrain,Sovereign country,Bahrain,Bahrain,Bahr.,Kingdom of Bahrain,Middle East & North Africa,94.5567932128906,2010,91.6125793457031,2010,96.1402359008789,2010,(2010)
278,The Bahamas,Sovereign country,Bahamas,Bahamas,Bhs.,Commonwealth of the Bahamas,Latin America & Caribbean,95.6,,,,,,
279,Bosnia and Herzegovina,Sovereign country,Bosnia and Herz.,Bosnia and Herzegovina,B.H.,Bosnia and Herzegovina,Europe & Central Asia,98.2641296386719,2013,97.1044692993164,2013,99.5018692016602,2013,(2013)
280,France,Dependency,St-Barthélemy,Saint-Barthélemy,St. B.,Saint-Barthélemy,Latin America & Caribbean,,,,,,,
281,Belarus,Sovereign country,Belarus,Belarus,Bela.,Republic of Belarus,Europe & Central Asia,99.617057800293,2009,99.4939956665039,2009,99.7636947631836,2009,(2009)
282,Belize,Sovereign country,Belize,Belize,Belize,Belize,Latin America & Caribbean,76.9,,,,,,
283,United Kingdom,Dependency,Bermuda,Bermuda,Berm.,The Bermudas or Somers Isles,North America,98,,,,,,
284,Bolivia,Sovereign country,Bolivia,Bolivia,Bolivia,Plurinational State of Bolivia,Latin America & Caribbean,94.460563659668,2012,91.8732757568359,2012,97.107048034668,2012,(2012)
285,Brazil,Sovereign country,Brazil,Brazil,Brazil,Federative Republic of Brazil,Latin America & Caribbean,91.4842376708984,2013,91.7649536132813,2013,91.1779632568359,2013,(2013)
286,Barbados,Sovereign country,Barbados,Barbados,Barb.,Barbados,Latin America & Caribbean,99.7,,,,,,
287,Brunei,Sovereign country,Brunei,Brunei Darussalam,Brunei,Negara Brunei Darussalam,East Asia & Pacific,96.0855560302734,2011,94.6524810791016,2011,97.4281616210938,2011,(2011)
288,Bhutan,Sovereign country,Bhutan,Bhutan,Bhutan,Kingdom of Bhutan,South Asia,52.81468964,2005,38.68065643,2005,65.04777527,2005,(2005)
289,Botswana,Sovereign country,Botswana,Botswana,Bwa.,Republic of Botswana,Sub-Saharan Africa,87.3205718994141,2013,87.7359237670898,2013,86.9089965820313,2013,(2013)
290,Central African Republic,Sovereign country,Central African Rep.,Central African Republic,C.A.R.,Central African Republic,Sub-Saharan Africa,36.7526092529297,2010,24.355489730835,2010,50.7127113342285,2010,(2010)
291,Canada,Sovereign country,Canada,Canada,Can.,Canada,North America,99,,,,,,
292,Switzerland,Sovereign country,Switzerland,Switzerland,Switz.,Swiss Confederation,Europe & Central Asia,99,,,,,,
293,Chile,Sovereign country,Chile,Chile,Chile,Republic of Chile,Latin America & Caribbean,96.703010559082,2011,96.5307083129883,2011,96.8987808227539,2011,(2011)
294,China,Country,China,China,China,People's Republic of China,East Asia & Pacific,95.1244735717773,2010,92.7112350463867,2010,97.4794616699219,2010,(2010)
295,Ivory Coast,Sovereign country,Côte d'Ivoire,Côte d'Ivoire,I.C.,Republic of Ivory Coast,Sub-Saharan Africa,40.981632232666,2012,30.4617252349854,2012,51.5926704406738,2012,(2012)
296,Cameroon,Sovereign country,Cameroon,Cameroon,Cam.,Republic of Cameroon,Sub-Saharan Africa,71.2905044555664,2010,64.7994995117188,2010,78.3276901245117,2010,(2010)
297,Democratic Republic of the Congo,Sovereign country,Dem. Rep. Congo,Democratic Republic of the Congo,D.R.C.,Democratic Republic of the Congo,Sub-Saharan Africa,75.0171966552734,2012,62.918643951416,2012,87.9083938598633,2012,(2012)
298,Republic of Congo,Sovereign country,Congo,Republic of Congo,Rep. Congo,Republic of Congo,Sub-Saharan Africa,79.3111724853516,2011,72.8770599365234,2011,86.4343032836914,2011,(2011)
299,New Zealand,Dependency,Cook Is.,Cook Islands,Cook Is., ,East Asia & Pacific,95,,,,,,
300,Colombia,Sovereign country,Colombia,Colombia,Col.,Republic of Colombia,Latin America & Caribbean,93.5805358886719,2011,93.6671371459961,2011,93.4882507324219,2011,(2011)
301,Comoros,Sovereign country,Comoros,Comoros,Com.,Union of the Comoros,Sub-Saharan Africa,76.5534591674805,2013,72.0149230957031,2013,81.0970916748047,2013,(2013)
302,Cape Verde,Sovereign country,Cape Verde,Cape Verde,C.Vd.,Republic of Cape Verde,Sub-Saharan Africa,85.3277893066406,2012,80.4962158203125,2012,90.4745025634766,2012,(2012)
303,Costa Rica,Sovereign country,Costa Rica,Costa Rica,C.R.,Republic of Costa Rica,Latin America & Caribbean,97.4065856933594,2011,97.5004119873047,2011,97.3063354492188,2011,(2011)
304,Cuba,Sovereign country,Cuba,Cuba,Cuba,Republic of Cuba,Latin America & Caribbean,99.7525253295898,2012,99.7998809814453,2012,99.7060546875,2012,(2012)
305,Netherlands,Country,Curaçao,Curaçao,Cur.,Curaçao,Latin America & Caribbean,,,,,,,
306,United Kingdom,Dependency,Cayman Is.,Cayman Islands,Cym. Is.,Cayman Islands,Latin America & Caribbean,98.8678207397461,2007,99.0214767456055,2007,98.7223968505859,2007,(2007)
307,Northern Cyprus,Sovereign country,N. Cyprus,Northern Cyprus,N. Cy.,Turkish Republic of Northern Cyprus,Europe & Central Asia,,,,,,,
308,Cyprus,Sovereign country,Cyprus,Cyprus,Cyp.,Republic of Cyprus,Europe & Central Asia,98.6784286499023,2011,98.1162261962891,2011,99.2861557006836,2011,(2011)
309,Czech Republic,Sovereign country,Czech Rep.,Czech Republic,Cz. Rep.,Czech Republic,Europe & Central Asia,99,2011,99,2011,99,2011,(2011)
310,Germany,Sovereign country,Germany,Germany,Ger.,Federal Republic of Germany,Europe & Central Asia,99,,,,,,
311,Djibouti,Sovereign country,Djibouti,Djibouti,Dji.,Republic of Djibouti,Middle East & North Africa,67.9,,,,,,
312,Dominica,Sovereign country,Dominica,Dominica,D'inca,Commonwealth of Dominica,Latin America & Caribbean,94,,,,,,
313,Denmark,Country,Denmark,Denmark,Den.,Kingdom of Denmark,Europe & Central Asia,99,,,,,,
314,Dominican Republic,Sovereign country,Dominican Rep.,Dominican Republic,Dom. Rep.,Dominican Republic,Latin America & Caribbean,90.8581466674805,2013,91.2505111694336,2013,90.4581298828125,2013,(2013)
315,Algeria,Sovereign country,Algeria,Algeria,Alg.,People's Democratic Republic of Algeria,Middle East & North Africa,72.648681640625,2006,63.9187850952148,2006,81.2840423583984,2006,(2006)
316,Ecuador,Sovereign country,Ecuador,Ecuador,Ecu.,Republic of Ecuador,Latin America & Caribbean,93.2946243286133,2013,92.2180862426758,2013,94.4257278442383,2013,(2013)
317,Egypt,Sovereign country,Egypt,Egypt,Egypt,Arab Republic of Egypt,Middle East & North Africa,75.0607299804688,2013,67.1798629760742,2013,82.6333465576172,2013,(2013)
318,Eritrea,Sovereign country,Eritrea,Eritrea,Erit.,State of Eritrea,Sub-Saharan Africa,71.5980987548828,2013,62.6708602905273,2013,80.8806762695313,2013,(2013)
319,Spain,Sovereign country,Spain,Spain,Sp.,Kingdom of Spain,Europe & Central Asia,98.0791244506836,2013,97.4405364990234,2013,98.7487487792969,2013,(2013)
320,Estonia,Sovereign country,Estonia,Estonia,Est.,Republic of Estonia,Europe & Central Asia,99.8627777099609,2011,99.8741836547852,2011,99.8498611450195,2011,(2011)
321,Ethiopia,Sovereign country,Ethiopia,Ethiopia,Eth.,Federal Democratic Republic of Ethiopia,Sub-Saharan Africa,38.9959831237793,2007,28.9216365814209,2007,49.1346588134766,2007,(2007)
322,Finland,Country,Finland,Finland,Fin.,Republic of Finland,Europe & Central Asia,100,,,,,,
323,Fiji,Sovereign country,Fiji,Fiji,Fiji,Republic of Fiji,East Asia & Pacific,93.7,,,,,,
324,United Kingdom,Dependency,Falkland Is.,Falkland Islands,Flk. Is.,Falkland Islands,Latin America & Caribbean,,,,,,,
325,France,Country,France,France,Fr.,French Republic,Europe & Central Asia,99,,,,,,
